"","time1","time2","time3","time1","time2","time3","idf"
"こちら側",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"神戸",0.371080623835578,0.0930171269271149,0,0.315520263396507,0.0790900588801256,0,1.17609125905568
"国際都市",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"外国",0.328651591699989,0.214634370630173,0,0.279443954003938,0.182498057848427,0,1.17609125905568
"ほとんど",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"本当",0.219736931825519,0,0,0.148760253177199,0,0,1.47712125471966
"日本語",0.268771646649793,0,0,0.181956386986525,0,0,1.47712125471966
"接点",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"いろいろ",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"壁",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"融合",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"出会い系",0.0724716226398125,0.258910818417218,0,0.0616207476093327,0.220145177020621,0,1.17609125905568
"今回",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"案",0.0724716226398125,0,0.160488959834733,0.0616207476093327,0,0.136459614506101,1.17609125905568
"絵",0.0724716226398125,0,0.258196776215168,0.0616207476093327,0,0.219538045391547,1.17609125905568
"両者",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"何か",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"知恵",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"拝借",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"深堀",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"してい",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"意見",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"観光客",0.277718902585669,0,0.160488959834733,0.236137204870189,0,0.136459614506101,1.17609125905568
"一つ",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"街",0.219736931825519,0,0,0.148760253177199,0,0,1.47712125471966
"昔",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"震災",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"あそこ",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"もの",0.0724716226398125,0.161013008622607,0,0.0616207476093327,0.136905199645722,0,1.17609125905568
"紙",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"きっかけ",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"今",0.109541790906722,0.182498057848427,0.136459614506101,0.109541790906722,0.182498057848427,0.136459614506101,1
"高校",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"時",0.174955633456614,0.0930171269271149,0,0.148760253177199,0.0790900588801256,0,1.17609125905568
"相手",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"回数",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"TOEIC",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"機会",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"英会話",0.41277260396212,0,0,0.279443954003938,0,0,1.47712125471966
"教室",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"お金",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"週",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"毎日",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"頻度",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
