画面,0,ツイッター,0.0892545682,六,0.1468378923,価値,0.045197586,コア,6.76284e-05,朝,0.1983709093,物,0.1701978943,一,0.2084914327,アナウンス,0.211480459,今年,0.6422965025
後ろ,0,発想,0.0889817964,粘土,0.1463284755,発想,0.0448911955,半分,6.62178e-05,表現,0.1979125594,実際,0.170197579,お金,0.2065002073,拡散,0.2114798393,駅名,0.6422965025
トラック,0,リボン,0.0852537628,アナウンス,0.1462539248,花火,0.043087595,今度,6.51674e-05,だめ,0.1836715638,ボランティア,0.1701969608,中,0.1998545821,適当,0.2114790623,全部,0.5113996565
そこ,0,話,0.084698351,拡散,0.1462534963,参加,0.0430618308,場所,6.4836e-05,ほお,0.1821842776,チャリティ,0.1701969608,ここら辺,0.1937889871,物,0.2114788306,シート,0.5113996565
装飾,0,メリケン,0.080396181,適当,0.1462529589,リボン,0.0430104076,明石,6.41313e-05,問題,0.172484582,周り,0.1701969608,健康,0.1920582655,実際,0.2114784387,他,0.5113996565
そこら,0,六,0.0793278348,物,0.1462527986,お祭り,0.0428298417,なにこれ,6.21631e-05,おばあさん,0.1652029353,ニーズ,0.1701969608,僕,0.1841964046,ボランティア,0.2114776706,どこ,0.5113996565
自然,0,粘土,0.079052627,実際,0.1462525276,看板,0.0419448413,価値,6.21031e-05,掲示,0.1613839784,近辺,0.1701969608,装飾,0.1724631482,チャリティ,0.2114776706,アイデア,0.5113996565
ほお,0,アナウンス,0.0790123517,ボランティア,0.1462519965,一言,0.0419329937,発想,6.16821e-05,じじ,0.160172245,各駅,0.1701969608,認知,0.169345771,周り,0.2114776706,一,0.5113996565
正直,0,拡散,0.0790121202,チャリティ,0.1462519965,パーク,0.0417600248,リボン,5.90978e-05,やつか,0.1421576897,頭,0.1701969608,労力,0.169345771,ニーズ,0.2114776706,セール,0.5113996565
プロトタイプ,0,適当,0.0790118298,周り,0.1462519965,形,0.0411112385,お祭り,5.88497e-05,変化,0.119673924,メリット,0.1701969608,結果,0.169345771,近辺,0.2114776706,中,0.5113996565
一枚,0,物,0.0790117433,ニーズ,0.1462519965,下敷き,0.0410489941,一言,5.76174e-05,移動,0.114773855,地元,0.1701969608,今回,0.169345771,各駅,0.2114776706,三宮,0.5113996565
どこ,0,実際,0.0790115969,近辺,0.1462519965,六,0.040020785,パーク,5.73798e-05,活性化,0.0996911469,自由,0.1701969608,提案,0.169345771,頭,0.2114776706,祭り,0.5113996565
問題,0,ボランティア,0.0790113099,各駅,0.1462519965,アナウンス,0.0398616241,メリケン,5.57306e-05,認知,0.0991854546,何々,0.1701969608,電光,0.169345771,メリット,0.2114776706,話,0.5113996565
皆さん,0,チャリティ,0.0790113099,頭,0.1462519965,拡散,0.0398615073,六,5.499e-05,労力,0.0991854546,人数,0.1701969608,内,0.169345771,地元,0.2114776706,そっち,0.5113996565
アイデア,0,周り,0.0790113099,メリット,0.1462519965,適当,0.0398613609,ボランティア,5.47706e-05,結果,0.0991854546,理解者,0.1701969608,ぼく,0.169345771,自由,0.2114776706,大事,0.5113996565
一,0,ニーズ,0.0790113099,地元,0.1462519965,物,0.0398613172,チャリティ,5.47706e-05,今回,0.0991854546,参加者,0.1701969608,つもり,0.169345771,何々,0.2114776706,タイプ,0.5113996565
音楽,0,近辺,0.0790113099,自由,0.1462519965,実際,0.0398612433,周り,5.47706e-05,提案,0.0991854546,ため,0.1701969608,外側,0.169345771,人数,0.2114776706,文字,0.5113996565
車内,0,各駅,0.0790113099,何々,0.1462519965,ボランティア,0.0398610986,ニーズ,5.47706e-05,電光,0.0991854546,たくさん,0.1701969608,どっち,0.169345771,理解者,0.2114776706,電車,0.4277881868
音声,0,頭,0.0790113099,人数,0.1462519965,チャリティ,0.0398610986,近辺,5.47706e-05,内,0.0991854546,コンテクスト,0.1701969608,東京,0.169345771,参加者,0.2114776706,イベント,0.402245315
どこら辺,0,メリット,0.0790113099,理解者,0.1462519965,周り,0.0398610986,各駅,5.47706e-05,ぼく,0.0991854546,いわな,0.1701969608,画面,0.169345771,ため,0.2114776706,人,0.3870223988
景色,0,地元,0.0790113099,参加者,0.1462519965,ニーズ,0.0398610986,頭,5.47706e-05,つもり,0.0991854546,ごめん,0.1701969608,後ろ,0.169345771,たくさん,0.2114776706,神戸,0
判断,0,自由,0.0790113099,ため,0.1462519965,近辺,0.0398610986,メリット,5.47706e-05,外側,0.0991854546,りぼん,0.1701969608,トラック,0.169345771,コンテクスト,0.2114776706,認知,0
自分,0,何々,0.0790113099,たくさん,0.1462519965,各駅,0.0398610986,地元,5.47706e-05,どっち,0.0991854546,ポストイット,0.1701969608,自然,0.169345771,いわな,0.2114776706,労力,0
何,0,人数,0.0790113099,コンテクスト,0.1462519965,頭,0.0398610986,自由,5.47706e-05,東京,0.0991854546,どれ,0.1701969608,プロトタイプ,0.169345771,ごめん,0.2114776706,結果,0
ここ,0,理解者,0.0790113099,いわな,0.1462519965,メリット,0.0398610986,何々,5.47706e-05,画面,0.0991854546,ティッシュ,0.1701969608,皆さん,0.169345771,りぼん,0.2114776706,窓,0
ろって,0,参加者,0.0790113099,ごめん,0.1462519965,地元,0.0398610986,人数,5.47706e-05,後ろ,0.0991854546,レシート,0.1701969608,音声,0.169345771,ポストイット,0.2114776706,目,0
柱,0,ため,0.0790113099,りぼん,0.1462519965,自由,0.0398610986,理解者,5.47706e-05,トラック,0.0991854546,絵,0.1701969608,どこら辺,0.169345771,どれ,0.2114776706,今回,0
逆,0,たくさん,0.0790113099,ポストイット,0.1462519965,何々,0.0398610986,参加者,5.47706e-05,自然,0.0991854546,ポスター,0.1701969608,判断,0.169345771,ティッシュ,0.2114776706,移動,0
向こう,0,コンテクスト,0.0790113099,どれ,0.1462519965,人数,0.0398610986,ため,5.47706e-05,プロトタイプ,0.0991854546,やな,0.1644053885,ろって,0.169345771,レシート,0.2114776706,周辺,0
ホーム,0,いわな,0.0790113099,ティッシュ,0.1462519965,理解者,0.0398610986,たくさん,5.47706e-05,皆さん,0.0991854546,そっち,0.1640090577,向こう,0.169345771,絵,0.2114776706,表示,0
ここら辺,0,ごめん,0.0790113099,レシート,0.1462519965,参加者,0.0398610986,コンテクスト,5.47706e-05,音声,0.0991854546,タイプ,0.1639552519,ホーム,0.169345771,ポスター,0.2114776706,地域,0
