"","time1","time2","time3","time4","time1","time2","time3","time4","idf"
"してい",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"意見",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"観光客",0.0234362236793396,0.00694406627535988,0.00677673937715843,0,0.0208333333333333,0.00617283950617284,0.00602409638554217,0,1.1249387366083
"一つ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"街",0.0200257498915995,0,0,0,0.0125,0,0,0,1.60205999132796
"昔",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"震災",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"あそこ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"もの",0.00542095831526659,0.016062098711901,0,0,0.00416666666666667,0.0123456790123457,0,0,1.30102999566398
"紙",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"きっかけ",0.00542095831526659,0.0080310493559505,0,0,0.00416666666666667,0.00617283950617284,0,0,1.30102999566398
"今",0.00468724473586792,0.0138881325507198,0.0203302181314753,0,0.00416666666666667,0.0123456790123457,0.0180722891566265,0,1.1249387366083
"高校",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"時",0.0162628749457998,0.0080310493559505,0,0,0.0125,0.00617283950617284,0,0,1.30102999566398
"相手",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"回数",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"TOEIC",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"機会",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"英会話",0.0379467082068661,0.0080310493559505,0,0,0.0291666666666667,0.00617283950617284,0,0,1.30102999566398
"教室",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"お金",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"週",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"毎日",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
