"","time1","time1","idf"
"中間",0.00155038759689922,0.00155038759689922,1
"地点",0.00155038759689922,0.00155038759689922,1
"カフェ",0.0170542635658915,0.0170542635658915,1
"講師",0.00155038759689922,0.00155038759689922,1
"街角",0.00155038759689922,0.00155038759689922,1
"興味",0.00310077519379845,0.00310077519379845,1
"ティッシュ",0.00155038759689922,0.00155038759689922,1
"winwin",0.00155038759689922,0.00155038759689922,1
"らな",0.00155038759689922,0.00155038759689922,1
"マッチング",0.0186046511627907,0.0186046511627907,1
"機能",0.0062015503875969,0.0062015503875969,1
"体験",0.00155038759689922,0.00155038759689922,1
"価値",0.00155038759689922,0.00155038759689922,1
"提供",0.00155038759689922,0.00155038759689922,1
"日本人",0.00155038759689922,0.00155038759689922,1
"異国",0.00155038759689922,0.00155038759689922,1
"語",0.00155038759689922,0.00155038759689922,1
"手軽",0.00155038759689922,0.00155038759689922,1
"空港",0.0155038759689922,0.0155038759689922,1
"場所",0.0108527131782946,0.0108527131782946,1
"誘導",0.00155038759689922,0.00155038759689922,1
"もともと",0.00155038759689922,0.00155038759689922,1
"案内",0.0062015503875969,0.0062015503875969,1
"サービス",0.00310077519379845,0.00310077519379845,1
"アプリ",0.00775193798449612,0.00775193798449612,1
"正直",0.00155038759689922,0.00155038759689922,1
"お墨付き",0.00155038759689922,0.00155038759689922,1
"神戸市",0.00310077519379845,0.00310077519379845,1
"地域",0.00310077519379845,0.00310077519379845,1
"連携",0.00155038759689922,0.00155038759689922,1
"運営",0.00155038759689922,0.00155038759689922,1
"信頼",0.00155038759689922,0.00155038759689922,1
"生田神社",0.00155038759689922,0.00155038759689922,1
"境内",0.00155038759689922,0.00155038759689922,1
"マニュアル",0.00155038759689922,0.00155038759689922,1
"用意",0.00155038759689922,0.00155038759689922,1
"お寺",0.00155038759689922,0.00155038759689922,1
"たいへん",0.00155038759689922,0.00155038759689922,1
"歴史",0.00155038759689922,0.00155038759689922,1
"パンフレット",0.00155038759689922,0.00155038759689922,1
"スペース",0.00155038759689922,0.00155038759689922,1
"暇",0.00155038759689922,0.00155038759689922,1
"タイミング",0.00155038759689922,0.00155038759689922,1
"ため",0.00155038759689922,0.00155038759689922,1
"何",0.00155038759689922,0.00155038759689922,1
"相談",0.00155038759689922,0.00155038759689922,1
"今度",0.00155038759689922,0.00155038759689922,1
"収集",0.00155038759689922,0.00155038759689922,1
"F",0.00310077519379845,0.00310077519379845,1
"登録",0.0186046511627907,0.0186046511627907,1
"何人",0.00155038759689922,0.00155038759689922,1
"看板",0.00155038759689922,0.00155038759689922,1
"店先",0.00155038759689922,0.00155038759689922,1
"スマホ",0.00155038759689922,0.00155038759689922,1
"お互い",0.00155038759689922,0.00155038759689922,1
"反応",0.00310077519379845,0.00310077519379845,1
"よね",0.00155038759689922,0.00155038759689922,1
"事前",0.00155038759689922,0.00155038759689922,1
"完全",0.00155038759689922,0.00155038759689922,1
"きれい",0.00155038759689922,0.00155038759689922,1
"要素",0.00155038759689922,0.00155038759689922,1
"コース",0.00155038759689922,0.00155038759689922,1
"掲示",0.00155038759689922,0.00155038759689922,1
"表示",0.00155038759689922,0.00155038759689922,1
"みなさん",0.00155038759689922,0.00155038759689922,1
"やり方",0.00155038759689922,0.00155038759689922,1
"簡単",0.00155038759689922,0.00155038759689922,1
"インターネット",0.00155038759689922,0.00155038759689922,1
"おっさん",0.00155038759689922,0.00155038759689922,1
"飯",0.00155038759689922,0.00155038759689922,1
"ぐるナビ",0.00155038759689922,0.00155038759689922,1
"すね",0.00155038759689922,0.00155038759689922,1
"学校",0.00155038759689922,0.00155038759689922,1
"誰",0.00310077519379845,0.00310077519379845,1
"状態",0.00155038759689922,0.00155038759689922,1
"ランゲージ",0.00155038759689922,0.00155038759689922,1
"サイト",0.00155038759689922,0.00155038759689922,1
"メッセージ",0.00155038759689922,0.00155038759689922,1
"やりとり",0.00155038759689922,0.00155038759689922,1
"不安",0.00155038759689922,0.00155038759689922,1
"公認",0.0124031007751938,0.0124031007751938,1
"ネット",0.00155038759689922,0.00155038759689922,1
"店舗",0.00155038759689922,0.00155038759689922,1
"斡旋",0.00155038759689922,0.00155038759689922,1
"交換",0.00155038759689922,0.00155038759689922,1
"店",0.00155038759689922,0.00155038759689922,1
"店主",0.00155038759689922,0.00155038759689922,1
"複数",0.00155038759689922,0.00155038759689922,1
"検定",0.00155038759689922,0.00155038759689922,1
"市",0.00155038759689922,0.00155038759689922,1
"不満",0.00155038759689922,0.00155038759689922,1
"実名",0.00155038759689922,0.00155038759689922,1
"パック",0.00310077519379845,0.00310077519379845,1
"自由",0.00155038759689922,0.00155038759689922,1
"時間",0.00155038759689922,0.00155038759689922,1
"航空",0.00155038759689922,0.00155038759689922,1
"具現",0.00155038759689922,0.00155038759689922,1
"話",0.00465116279069767,0.00465116279069767,1
"二人",0.00465116279069767,0.00465116279069767,1
"シャットアウト",0.00155038759689922,0.00155038759689922,1
"絵心",0.00310077519379845,0.00310077519379845,1
"チケット",0.00155038759689922,0.00155038759689922,1
"契機",0.00155038759689922,0.00155038759689922,1
"有料",0.00155038759689922,0.00155038759689922,1
"排除",0.00155038759689922,0.00155038759689922,1
"プロフィール",0.013953488372093,0.013953488372093,1
"ジャンル",0.00155038759689922,0.00155038759689922,1
"お酒",0.00310077519379845,0.00310077519379845,1
"閉鎖",0.00155038759689922,0.00155038759689922,1
"空間",0.00155038759689922,0.00155038759689922,1
"個々",0.00155038759689922,0.00155038759689922,1
"状況",0.00155038759689922,0.00155038759689922,1
"訳",0.00155038759689922,0.00155038759689922,1
"画面",0.00465116279069767,0.00465116279069767,1
"認識",0.00155038759689922,0.00155038759689922,1
"取っ手",0.00155038759689922,0.00155038759689922,1
"半分",0.00155038759689922,0.00155038759689922,1
"安心",0.00155038759689922,0.00155038759689922,1
"自然",0.00155038759689922,0.00155038759689922,1
