"","time1","time1","idf"
"定番",0.0312307990783385,0.0312307990783385,1
"スポット",0.0827572344653263,0.0827572344653263,1
"コミュニケーション",0.142496927155685,0.142496927155685,1
"文化",0.0827572344653263,0.0827572344653263,1
"側",0.0827572344653263,0.0827572344653263,1
"共通",0.0312307990783385,0.0312307990783385,1
"手段",0.124354195540135,0.124354195540135,1
"一緒",0.0585220493323666,0.0585220493323666,1
"ディープ",0.0585220493323666,0.0585220493323666,1
"紹介",0.0312307990783385,0.0312307990783385,1
"地元",0.159237223071079,0.159237223071079,1
"おれ",0.0312307990783385,0.0312307990783385,1
"いな",0.0312307990783385,0.0312307990783385,1
"おじちゃん",0.0312307990783385,0.0312307990783385,1
"大阪",0.0312307990783385,0.0312307990783385,1
"レストラン",0.0312307990783385,0.0312307990783385,1
"説明",0.0827572344653263,0.0827572344653263,1
"現地",0.0585220493323666,0.0585220493323666,1
"どっち",0.104552382942622,0.104552382942622,1
"トリガー",0.0585220493323666,0.0585220493323666,1
"旅行客",0.0585220493323666,0.0585220493323666,1
"自ら",0.0312307990783385,0.0312307990783385,1
"形",0.0827572344653263,0.0827572344653263,1
"スクール",0.0827572344653263,0.0827572344653263,1
"チラシ",0.0312307990783385,0.0312307990783385,1
"不特定",0.0312307990783385,0.0312307990783385,1
"多数",0.0312307990783385,0.0312307990783385,1
"要",0.104552382942622,0.104552382942622,1
"先生",0.0312307990783385,0.0312307990783385,1
"中間",0.0312307990783385,0.0312307990783385,1
"地点",0.0312307990783385,0.0312307990783385,1
"カフェ",0.215651902092027,0.215651902092027,1
"講師",0.0312307990783385,0.0312307990783385,1
"街角",0.0312307990783385,0.0312307990783385,1
"興味",0.0585220493323666,0.0585220493323666,1
"ティッシュ",0.0312307990783385,0.0312307990783385,1
"winwin",0.0312307990783385,0.0312307990783385,1
"らな",0.0312307990783385,0.0312307990783385,1
"マッチング",0.227726282735989,0.227726282735989,1
"機能",0.104552382942622,0.104552382942622,1
"体験",0.0312307990783385,0.0312307990783385,1
"価値",0.0312307990783385,0.0312307990783385,1
"提供",0.0312307990783385,0.0312307990783385,1
"日本人",0.0312307990783385,0.0312307990783385,1
"異国",0.0312307990783385,0.0312307990783385,1
"語",0.0312307990783385,0.0312307990783385,1
"手軽",0.0312307990783385,0.0312307990783385,1
"空港",0.202864766583495,0.202864766583495,1
"場所",0.159237223071079,0.159237223071079,1
"誘導",0.0312307990783385,0.0312307990783385,1
"もともと",0.0312307990783385,0.0312307990783385,1
"案内",0.104552382942622,0.104552382942622,1
"サービス",0.0585220493323666,0.0585220493323666,1
"アプリ",0.124354195540135,0.124354195540135,1
"正直",0.0312307990783385,0.0312307990783385,1
"お墨付き",0.0312307990783385,0.0312307990783385,1
"神戸市",0.0585220493323666,0.0585220493323666,1
"地域",0.0585220493323666,0.0585220493323666,1
