,topic1,topic2,topic3
やりとり,0.0366528769,0.0366528769,0.0357876923
不安,0.0412720171,0.0268614074,0.0412720171
公認,0.3748726818,0.3748726818,0.1101311576
ネット,0.0363788794,0.0363788794,0.0363788794
店舗,0.0448457443,0.0199102748,0.0448457443
斡旋,0.0396008287,0.0396008287,0.0294270809
交換,0.0363788794,0.0363788794,0.0363788794
店,0.0363788794,0.0363788794,0.0363788794
店主,0.0449984718,0.0196132097,0.0449984718
複数,0.0066770187,0.0519374441,0.0519374441
検定,0.0400705888,0.0400705888,0.028413509
市,0.0363788794,0.0363788794,0.0363788794
不満,0.0363788794,0.0363788794,0.0363788794
実名,0.0363788794,0.0363788794,0.0363788794
パック,0.0727577588,0.0727577588,0.0727577588
自由,0.0485632525,0.0126794786,0.0485632525
時間,0.0363788794,0.0363788794,0.0363788794
航空,0.0363788794,0.0363788794,0.0363788794
具現,0.0363788794,0.0363788794,0.0363788794
話,0.1091366383,0.1091366383,0.1091366383
二人,0.1102470055,0.1102470055,0.1067408683
シャットアウト,0.0363788794,0.0363788794,0.0363788794
絵心,0.0727577588,0.0727577588,0.0727577588
チケット,0.0363788794,0.0363788794,0.0363788794
契機,0.0363788794,0.0363788794,0.0363788794
有料,0.0363788794,0.0363788794,0.0363788794
排除,0.0363788794,0.0363788794,0.0363788794
プロフィール,0.3274099148,0.3274099148,0.3274099148
ジャンル,0.0363788794,0.0363788794,0.0363788794
お酒,0.054892872,0.0821158256,0.0821158256
閉鎖,0.0383016198,0.0326390239,0.0383016198
空間,0.0363788794,0.0363788794,0.0363788794
個々,0.0363788794,0.0363788794,0.0363788794
状況,0.0363788794,0.0363788794,0.0363788794
訳,0.0454635387,0.0187086243,0.0454635387
画面,0.1091366383,0.1091366383,0.1091366383
認識,0.0409947526,0.0409947526,0.0264194986
取っ手,0.0363788794,0.0363788794,0.0363788794
半分,0.0057753472,0.041580084,0.0640211161
安心,0.0363788794,0.0363788794,0.0363788794
自然,0.0363788794,0.0363788794,0.0363788794
