"","time1","time2","time3","time1","time2","time3","idf"
"全部",0.00811097420038401,0,0.0129240797698427,0.00689655172413793,0,0.010989010989011,1.17609125905568
"ブラインド",0.0152805647039965,0,0,0.0103448275862069,0,0,1.47712125471966
"それ",0.0379310344827586,0.01875,0.0659340659340659,0.0379310344827586,0.01875,0.0659340659340659,1
"今",0.02027743550096,0,0.0258481595396853,0.0172413793103448,0,0.021978021978022,1.17609125905568
"シート",0.004055487100192,0,0.0129240797698427,0.00344827586206897,0,0.010989010989011,1.17609125905568
"内",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"内側",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"外",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"ぼく",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"つもり",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"外側",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"どっち",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"他",0.004055487100192,0,0.0129240797698427,0.00344827586206897,0,0.010989010989011,1.17609125905568
"バス",0.0203740862719953,0,0,0.0137931034482759,0,0,1.47712125471966
"東京",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"画面",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"後ろ",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"トラック",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"そこ",0.012166461300576,0.00735057036909801,0,0.0103448275862069,0.00625,0,1.17609125905568
"情報",0.0379310344827586,0.03125,0.021978021978022,0.0379310344827586,0.03125,0.021978021978022,1
"装飾",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"そこら",0.004055487100192,0,0.0258481595396853,0.00344827586206897,0,0.021978021978022,1.17609125905568
"自然",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"ほお",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"正直",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"プロトタイプ",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"一枚",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"どこ",0.016221948400768,0,0.0129240797698427,0.0137931034482759,0,0.010989010989011,1.17609125905568
"問題",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"皆さん",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"アイデア",0.004055487100192,0,0.0129240797698427,0.00344827586206897,0,0.010989010989011,1.17609125905568
"一",0.004055487100192,0,0.0129240797698427,0.00344827586206897,0,0.010989010989011,1.17609125905568
"音楽",0.0203740862719953,0,0,0.0137931034482759,0,0,1.47712125471966
"車内",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"音声",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"どこら辺",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"景色",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"判断",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"自分",0.012166461300576,0.014701140738196,0,0.0103448275862069,0.0125,0,1.17609125905568
"何",0.028388409701344,0.014701140738196,0,0.0241379310344828,0.0125,0,1.17609125905568
"ここ",0.02027743550096,0.014701140738196,0,0.0172413793103448,0.0125,0,1.17609125905568
"ろって",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"柱",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"逆",0.00811097420038401,0.014701140738196,0,0.00689655172413793,0.0125,0,1.17609125905568
"向こう",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"ホーム",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"ここら辺",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"線路",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"はいはい",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
