"word","V1","V2","V3","V4","V5","cluster"
"してい","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"意見","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"一つ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"街","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.256020278707705","2"
"昔","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"震災","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"観光客","-0.218224222029333","0.491562633177223","-1.5456281262345","0.101940796451554","0.375039093715009","1"
"あそこ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"もの","0.131017603541653","-1.25475830802056","0.226321385226539","0.105152251243166","0.132257287954338","1"
"中","-0.443614439359218","0.334498028604012","-1.99720657069934","1.81675394340206","0.344043740538456","1"
"組織","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"海外","0.223900918765942","1.78195032197666","1.63066967938261","0.260163234128269","0.347562571897328","3"
"留学","-0.254888624276343","0.318898614714197","-0.678465245078495","-1.64822221329087","0.368355034894981","1"
"方","0.103475601593419","-0.389805678634345","-0.822124770265548","0.468040216391775","0.349161202156462","1"
"側","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.256020278707705","2"
"ディープ","0.829747755480937","-1.46846153254697","0.281127267574713","0.177457704222817","0.10795419577594","1"
"スポット","-0.592073316296534","-0.0631848765131099","-0.413406956542267","-1.11196769376596","0.236090373908831","1"
"紹介","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"地元","-0.507239672332354","0.164062497839531","-1.31843530748916","0.561587527472907","0.341700651992576","1"
"おれ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"いな","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"どっち","-0.434563710768124","0.552203800780487","-0.330844967925357","1.15439166129597","0.359135500035269","1"
"トリガー","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"旅行客","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"時","0.70789442468224","0.223849257045955","0.410734518407325","-0.469638237581011","0.321632212088689","1"
"自ら","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"形","-0.592073316296534","-0.0631848765131099","-0.413406956542267","-1.11196769376596","0.236090373908831","1"
"英会話","-0.236618048352166","-0.414504040521576","-0.239773400513022","-0.789611344268765","0.321431075992229","1"
"スクール","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.256020278707705","2"
"チラシ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"不特定","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"多数","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"要","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"先生","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"中間","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"地点","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"カフェ","0.740127962075615","0.943307507748163","-0.23471948636699","1.14593390697148","0.408968321135608","1"
"現地","-0.42551298217703","0.769909572956962","1.33551663484862","0.492029379189893","0.365047054453515","1"
"講師","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"街角","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"興味","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"ティッシュ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"winwin","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"らな","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"マッチング","0.215357486155586","-0.0080779600704427","-0.375256792744494","-0.373584875686481","0.375309252082429","1"
"今","-0.705822888230325","0.237489095648733","0.929247630075812","0.314866701221217","0.250353190062797","1"
"機能","-0.845977841256973","-0.0287211430053808","0.726113127689407","0.226285362236878","0.336270480178711","1"
"体験","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"価値","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"提供","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"正直","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"お墨付き","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"神戸市","-0.42551298217703","0.769909572956962","1.33551663484862","0.492029379189893","0.365047054453515","1"
"アプリ","0.0718042658460269","1.55410181437059","0.733711561220499","1.34081202521838","0.489130365579816","3"
"空港","0.311995539068307","0.845180666658036","-1.47680023556306","2.07273242875226","0.401298234777987","1"
"地域","-0.42551298217703","0.769909572956962","1.33551663484862","0.492029379189893","0.365047054453515","1"
"連携","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"運営","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"信頼","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"スペース","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"暇","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"タイミング","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"きっかけ","-0.42551298217703","0.769909572956962","1.33551663484862","0.492029379189893","0.365047054453515","1"
"場所","0.0916718864727474","-0.0191116946116831","-1.27145883690501","0.623563630026894","0.329860968923965","1"
"ため","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"何","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"F","0.829747755480937","-1.46846153254697","0.281127267574713","0.177457704222817","0.10795419577594","1"
"登録","-0.508793149236782","0.353362348221926","0.461054839153178","-0.309969157288033","0.307397041397611","1"
"反応","-0.42551298217703","0.769909572956962","1.33551663484862","0.492029379189893","0.365047054453515","1"
"完全","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"きれい","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"要素","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"みなさん","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"手段","-0.0525778090642287","0.548148709450582","-0.837500218200233","-1.96997492500582","0.362545693331586","1"
"やり方","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"ガイドブック","-0.254888624276343","0.318898614714197","-0.678465245078495","-1.64822221329087","0.368355034894981","1"
"簡単","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"インターネット","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"自分","0.203706959983225","0.895923705027612","-1.40573800928805","-1.586359953405","0.414005461098037","1"
"おっさん","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"一緒","-0.254888624276343","0.318898614714197","-0.678465245078495","-1.64822221329087","0.368355034894981","1"
"誰","-0.254888624276343","0.318898614714197","-0.678465245078495","-1.64822221329087","0.368355034894981","1"
"不満","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"公認","0.290496485393228","1.74235016777909","1.24263095562389","-0.179480391620965","0.431777918032494","3"
"実名","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"航空","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"シャットアウト","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"説明","-0.145203076123734","1.30233005026519","1.74178563962143","0.66919205715857","0.336377043382798","3"
"絵心","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
