,topic1,topic2,topic3
はいはい,0.022346761,0.022346761,0.022346761
やつか,0.022346761,0.022346761,0.022346761
あれ,0.1340805657,0.1340805657,0.1340805657
アイコン,0.022346761,0.022346761,0.022346761
下,0.0253806974,0.0162412318,0.0253806974
興味,0.0670402829,0.0670402829,0.0670402829
だめ,0.022346761,0.022346761,0.022346761
開催,0.0312191153,0.0312191153,0.004700487
メイン,0.0446935219,0.0446935219,0.0446935219
さいの,0.022346761,0.022346761,0.022346761
スーパー,0.022346761,0.022346761,0.022346761
セール,0.0446935219,0.0446935219,0.0446935219
ほか,0.022346761,0.022346761,0.022346761
お店,0.1240017322,0.0197280391,0.1240017322
広告,0.0670402829,0.0670402829,0.0670402829
以上,0.022346761,0.022346761,0.022346761
大勢,0.022346761,0.022346761,0.022346761
もの,0.1117338048,0.1117338048,0.1117338048
時間,0.1117338048,0.1117338048,0.1117338048
朝,0.0126325968,0.0607338039,0.0607338039
サラリーマン,0.022346761,0.022346761,0.022346761
学生,0.0670402829,0.0670402829,0.0670402829
ほとんど,0.022346761,0.022346761,0.022346761
昼間,0.022346761,0.022346761,0.022346761
主婦,0.022346761,0.022346761,0.022346761
晩御飯,0.022346761,0.022346761,0.022346761
